venda_id,data,produto_id,cliente_id,vendedor_id,regiao,quantidade,desconto_pct,receita_bruta,receita_liquida,custo_total,margem
3,2023-09-01,17,69,1,Sul,1,0.007,207.43,205.98,131.08,74.9
4,2023-09-01,8,107,8,Sudeste,8,0.068,2284.24,2128.91,1399.44,729.47
5,2023-09-01,4,63,8,Sudeste,3,0.015,150.75,148.49,101.7,46.79
6,2023-09-01,16,98,5,Nordeste,5,0.007,290.75,288.71,203.1,85.61
7,2023-09-01,1,74,11,Centro-Oeste,1,0.068,101.92,94.99,68.63,26.36
8,2023-09-01,4,40,1,Sul,23,0.047,1155.75,1101.43,779.7,321.73
9,2023-09-01,3,123,15,Sudeste,4,0.008,3543.44,3515.09,1919.56,1595.53
11,2023-09-01,1,108,14,Centro-Oeste,10,0.067,1019.2,950.91,686.3,264.61
12,2023-09-01,9,133,11,Centro-Oeste,2,0.063,1519.38,1423.66,771.68,651.98
13,2023-09-01,20,35,7,Norte,1,0.062,256.5,240.6,145.03,95.57
10,2023-09-01,4,100,13,Centro-Oeste,8,0.085,402.0,367.83,271.2,96.63
15,2023-09-01,6,82,10,Sul,2,0.022,1594.4,1559.32,821.58,737.74
26,2023-09-01,14,80,6,Nordeste,2,0.06,388.18,364.89,231.78,133.11
25,2023-09-01,9,16,4,Centro-Oeste,1,0.076,759.69,701.95,385.84,316.11
14,2023-09-01,7,13,10,Sul,12,0.083,698.16,640.21,478.92,161.29
23,2023-09-01,17,83,16,Sudeste,21,0.086,4356.03,3981.41,2752.68,1228.73
22,2023-09-01,21,104,8,Sudeste,4,0.04,1743.8,1674.05,835.32,838.73
21,2023-09-01,11,50,15,Sudeste,23,0.164,3655.39,3055.91,2181.55,874.36
24,2023-09-01,1,67,15,Sudeste,1,0.06,101.92,95.8,68.63,27.17
19,2023-09-01,15,56,13,Centro-Oeste,11,0.016,4728.79,4653.13,2313.41,2339.72
18,2023-09-01,1,33,2,Norte,4,0.077,407.68,376.29,274.52,101.77
17,2023-09-01,12,62,3,Nordeste,10,0.036,4094.9,3947.48,2191.7,1755.78
16,2023-09-01,24,46,6,Nordeste,5,0.039,2005.4,1927.19,978.5,948.69
20,2023-09-01,14,56,14,Centro-Oeste,11,0.035,2134.99,2060.27,1274.79,785.48
70,2023-09-02,10,137,12,Sul,13,0.054,1448.85,1370.61,1029.08,341.53
78,2023-09-02,11,35,7,Norte,1,0.096,158.93,143.67,94.85,48.82
77,2023-09-02,23,111,16,Sudeste,3,0.048,828.45,788.68,493.8,294.88
79,2023-09-02,22,29,9,Centro-Oeste,4,0.05,372.76,354.12,261.8,92.32
76,2023-09-02,4,129,14,Centro-Oeste,9,0.028,452.25,439.59,305.1,134.49
75,2023-09-02,10,96,3,Nordeste,12,0.083,1337.4,1226.4,949.92,276.48
74,2023-09-02,24,90,12,Sul,8,0.02,3208.64,3144.47,1565.6,1578.87
73,2023-09-02,23,45,11,Centro-Oeste,9,0.016,2485.35,2445.58,1481.4,964.18
72,2023-09-02,17,65,7,Norte,4,0.099,829.72,747.58,524.32,223.26
71,2023-09-02,18,25,15,Sudeste,2,0.04,1002.34,962.25,548.92,413.33
69,2023-09-02,15,30,1,Sul,1,0.089,429.89,391.63,210.31,181.32
59,2023-09-02,2,126,14,Centro-Oeste,11,0.097,2854.17,2577.32,1601.27,976.05
67,2023-09-02,7,55,15,Sudeste,1,0.084,58.18,53.29,39.91,13.38
66,2023-09-02,12,63,16,Sudeste,3,0.003,1228.47,1224.78,657.51,567.27
65,2023-09-02,3,63,8,Sudeste,3,0.023,2657.58,2596.46,1439.67,1156.79
64,2023-09-02,24,108,14,Centro-Oeste,9,0.004,3609.72,3595.28,1761.3,1833.98
63,2023-09-02,21,95,3,Nordeste,4,0.036,1743.8,1681.02,835.32,845.7
62,2023-09-02,7,130,15,Sudeste,2,0.078,116.36,107.28,79.82,27.46
61,2023-09-02,8,34,14,Centro-Oeste,3,0.095,856.59,775.21,524.79,250.42
60,2023-09-02,17,54,16,Sudeste,7,0.092,1452.01,1318.43,917.56,400.87
58,2023-09-02,14,89,16,Sudeste,1,0.087,194.09,177.2,115.89,61.31
57,2023-09-02,14,81,12,Sul,1,0.038,194.09,186.71,115.89,70.82
68,2023-09-02,18,105,6,Nordeste,9,0.046,4510.53,4303.05,2470.14,1832.91
93,2023-09-03,3,28,16,Sudeste,1,0.095,885.86,801.7,479.89,321.81
94,2023-09-03,15,22,8,Sudeste,1,0.054,429.89,406.68,210.31,196.37
95,2023-09-03,24,119,15,Sudeste,29,0.03,11631.32,11282.38,5675.3,5607.08
97,2023-09-03,17,71,10,Sul,3,0.07,622.29,578.73,393.24,185.49
92,2023-09-03,2,87,10,Sul,1,0.085,259.47,237.42,145.57,91.85
99,2023-09-03,6,33,2,Norte,2,0.064,1594.4,1492.36,821.58,670.78
100,2023-09-03,6,84,15,Sudeste,16,0.038,12755.2,12270.5,6572.64,5697.86
101,2023-09-03,23,113,8,Sudeste,6,0.07,1656.9,1540.92,987.6,553.32
98,2023-09-03,7,38,3,Nordeste,1,0.005,58.18,57.89,39.91,17.98
91,2023-09-03,18,65,7,Norte,2,0.026,1002.34,976.28,548.92,427.36
96,2023-09-03,13,31,10,Sul,2,0.007,199.16,197.77,145.56,52.21
89,2023-09-03,10,122,15,Sudeste,22,0.053,2451.9,2321.95,1741.52,580.43
90,2023-09-03,15,70,10,Sul,15,0.028,6448.35,6267.8,3154.65,3113.15
80,2023-09-03,17,125,5,Nordeste,6,0.054,1244.58,1177.37,786.48,390.89
81,2023-09-03,13,69,10,Sul,3,0.007,298.74,296.65,218.34,78.31
83,2023-09-03,19,116,15,Sudeste,3,0.094,313.14,283.7,209.1,74.6
84,2023-09-03,16,91,5,Nordeste,11,0.055,639.65,604.47,446.82,157.65
82,2023-09-03,21,14,3,Nordeste,4,0.049,1743.8,1658.35,835.32,823.03
85,2023-09-03,13,4,12,Sul,12,0.034,1194.96,1154.33,873.36,280.97
86,2023-09-03,6,110,12,Sul,28,0.12,22321.6,19643.01,11502.12,8140.89
87,2023-09-03,6,86,15,Sudeste,5,0.066,3986.0,3722.92,2053.95,1668.97
88,2023-09-03,16,87,12,Sul,3,0.004,174.45,173.75,121.86,51.89
145,2023-09-04,14,43,15,Sudeste,2,0.079,388.18,357.51,231.78,125.73
148,2023-09-04,21,107,16,Sudeste,6,0.003,2615.7,2607.85,1252.98,1354.87
147,2023-09-04,4,115,15,Sudeste,1,0.045,50.25,47.99,33.9,14.09
146,2023-09-04,1,110,12,Sul,23,0.034,2344.16,2264.46,1578.49,685.97
149,2023-09-04,10,76,8,Sudeste,3,0.035,334.35,322.65,237.48,85.17
144,2023-09-04,1,93,2,Norte,2,0.03,203.84,197.72,137.26,60.46
139,2023-09-04,17,34,13,Centro-Oeste,5,0.043,1037.15,992.55,655.4,337.15
142,2023-09-04,4,16,11,Centro-Oeste,4,0.064,201.0,188.14,135.6,52.54
140,2023-09-04,9,32,8,Sudeste,7,0.094,5317.83,4817.95,2700.88,2117.07
150,2023-09-04,15,45,14,Centro-Oeste,11,0.018,4728.79,4643.67,2313.41,2330.26
138,2023-09-04,23,38,3,Nordeste,5,0.092,1380.75,1253.72,823.0,430.72
137,2023-09-04,20,109,16,Sudeste,2,0.054,513.0,485.3,290.06,195.24
143,2023-09-04,3,35,2,Norte,4,0.076,3543.44,3274.14,1919.56,1354.58
151,2023-09-04,11,131,9,Centro-Oeste,27,0.161,4291.11,3600.24,2560.95,1039.29
156,2023-09-04,17,77,15,Sudeste,18,0.051,3733.74,3543.32,2359.44,1183.88
153,2023-09-04,15,66,1,Sul,4,0.038,1719.56,1654.22,841.24,812.98
167,2023-09-04,12,19,2,Norte,10,0.031,4094.9,3967.96,2191.7,1776.26
166,2023-09-04,5,136,11,Centro-Oeste,1,0.014,194.16,191.44,124.45,66.99
165,2023-09-04,16,55,15,Sudeste,3,0.052,174.45,165.38,121.86,43.52
164,2023-09-04,19,120,2,Norte,10,0.061,1043.8,980.13,697.0,283.13
163,2023-09-04,16,25,8,Sudeste,4,0.049,232.6,221.2,162.48,58.72
162,2023-09-04,23,129,9,Centro-Oeste,10,0.031,2761.5,2675.89,1646.0,1029.89
152,2023-09-04,2,29,13,Centro-Oeste,6,0.086,1556.82,1422.93,873.42,549.51
161,2023-09-04,11,24,7,Norte,1,0.064,158.93,148.76,94.85,53.91
159,2023-09-04,12,55,16,Sudeste,2,0.073,818.98,759.19,438.34,320.85
158,2023-09-04,10,129,14,Centro-Oeste,6,0.099,668.7,602.5,474.96,127.54
157,2023-09-04,18,112,8,Sudeste,5,0.061,2505.85,2352.99,1372.3,980.69
136,2023-09-04,16,86,16,Sudeste,1,0.099,58.15,52.39,40.62,11.77
155,2023-09-04,17,105,3,Nordeste,8,0.066,1659.44,1549.92,1048.64,501.28
154,2023-09-04,3,64,12,Sul,3,0.059,2657.58,2500.78,1439.67,1061.11
160,2023-09-04,19,123,8,Sudeste,3,0.026,313.14,305.0,209.1,95.9
135,2023-09-04,6,13,10,Sul,6,0.084,4783.2,4381.41,2464.74,1916.67
141,2023-09-04,17,32,15,Sudeste,7,0.009,1452.01,1438.94,917.56,521.38
133,2023-09-04,22,1,6,Nordeste,14,0.069,1304.66,1214.64,916.3,298.34
102,2023-09-04,19,62,3,Nordeste,14,0.026,1461.32,1423.33,975.8,447.53
103,2023-09-04,9,20,8,Sudeste,14,0.095,10635.66,9625.27,5401.76,4223.51
104,2023-09-04,2,35,7,Norte,1,0.051,259.47,246.24,145.57,100.67
134,2023-09-04,20,86,8,Sudeste,1,0.042,256.5,245.73,145.03,100.7
106,2023-09-04,7,124,8,Sudeste,3,0.093,174.54,158.31,119.73,38.58
107,2023-09-04,6,45,4,Centro-Oeste,2,0.023,1594.4,1557.73,821.58,736.15
108,2023-09-04,17,53,8,Sudeste,4,0.065,829.72,775.79,524.32,251.47
109,2023-09-04,3,10,16,Sudeste,5,0.027,4429.3,4309.71,2399.45,1910.26
110,2023-09-04,6,63,16,Sudeste,4,0.083,3188.8,2924.13,1643.16,1280.97
111,2023-09-04,13,128,16,Sudeste,3,0.011,298.74,295.45,218.34,77.11
112,2023-09-04,3,58,10,Sul,13,0.071,11516.18,10698.53,6238.57,4459.96
113,2023-09-04,22,92,12,Sul,10,0.14,931.9,801.43,654.5,146.93
114,2023-09-04,24,26,2,Norte,2,0.027,802.16,780.5,391.4,389.1
115,2023-09-04,20,21,8,Sudeste,9,0.068,2308.5,2151.52,1305.27,846.25
116,2023-09-04,14,103,15,Sudeste,5,0.033,970.45,938.43,579.45,358.98
105,2023-09-04,21,24,2,Norte,2,0.069,871.9,811.74,417.66,394.08
118,2023-09-04,7,63,15,Sudeste,4,0.086,232.72,212.71,159.64,53.07
117,2023-09-04,14,10,15,Sudeste,2,0.023,388.18,379.25,231.78,147.47
132,2023-09-04,17,48,8,Sudeste,3,0.027,622.29,605.49,393.24,212.25
130,2023-09-04,22,127,6,Nordeste,4,0.017,372.76,366.42,261.8,104.62
129,2023-09-04,20,2,2,Norte,2,0.061,513.0,481.71,290.06,191.65
128,2023-09-04,5,122,16,Sudeste,29,0.071,5630.64,5230.86,3609.05,1621.81
127,2023-09-04,3,14,3,Nordeste,10,0.013,8858.6,8743.44,4798.9,3944.54
126,2023-09-04,9,102,12,Sul,31,0.058,23550.39,22184.47,11961.04,10223.43
131,2023-09-04,2,93,7,Norte,1,0.004,259.47,258.43,145.57,112.86
124,2023-09-04,18,115,8,Sudeste,5,0.077,2505.85,2312.9,1372.3,940.6
123,2023-09-04,18,10,15,Sudeste,1,0.002,501.17,500.17,274.46,225.71
122,2023-09-04,1,135,1,Sul,7,0.07,713.44,663.5,480.41,183.09
121,2023-09-04,4,75,4,Centro-Oeste,5,0.051,251.25,238.44,169.5,68.94
120,2023-09-04,4,3,8,Sudeste,10,0.023,502.5,490.94,339.0,151.94
125,2023-09-04,18,76,8,Sudeste,4,0.05,2004.68,1904.45,1097.84,806.61
119,2023-09-04,4,45,4,Centro-Oeste,5,0.099,251.25,226.38,169.5,56.88
204,2023-09-05,11,100,4,Centro-Oeste,6,0.043,953.58,912.58,569.1,343.48
203,2023-09-05,9,53,8,Sudeste,2,0.023,1519.38,1484.43,771.68,712.75
202,2023-09-05,3,36,6,Nordeste,13,0.091,11516.18,10468.21,6238.57,4229.64
201,2023-09-05,15,96,5,Nordeste,6,0.02,2579.34,2527.75,1261.86,1265.89
198,2023-09-05,8,132,12,Sul,5,0.088,1427.65,1302.02,874.65,427.37
199,2023-09-05,8,40,1,Sul,13,0.084,3711.89,3400.09,2274.09,1126.0
197,2023-09-05,24,4,12,Sul,15,0.084,6016.2,5510.84,2935.5,2575.34
196,2023-09-05,16,27,10,Sul,13,0.059,755.95,711.35,528.06,183.29
205,2023-09-05,3,84,15,Sudeste,8,0.057,7086.88,6682.93,3839.12,2843.81
200,2023-09-05,13,43,8,Sudeste,6,0.027,597.48,581.35,436.68,144.67
206,2023-09-05,14,92,10,Sul,26,0.145,5046.34,4314.62,3013.14,1301.48
214,2023-09-05,7,95,6,Nordeste,6,0.057,349.08,329.18,239.46,89.72
208,2023-09-05,21,64,1,Sul,6,0.092,2615.7,2375.06,1252.98,1122.08
209,2023-09-05,13,67,16,Sudeste,3,0.026,298.74,290.97,218.34,72.63
210,2023-09-05,5,89,16,Sudeste,2,0.018,388.32,381.33,248.9,132.43
211,2023-09-05,13,22,15,Sudeste,5,0.037,497.9,479.48,363.9,115.58
212,2023-09-05,9,23,4,Centro-Oeste,2,0.068,1519.38,1416.06,771.68,644.38
213,2023-09-05,11,107,15,Sudeste,5,0.051,794.65,754.12,474.25,279.87
215,2023-09-05,11,114,15,Sudeste,15,0.131,2383.95,2071.65,1422.75,648.9
216,2023-09-05,4,38,6,Nordeste,5,0.092,251.25,228.14,169.5,58.64
217,2023-09-05,7,140,7,Norte,2,0.049,116.36,110.66,79.82,30.84
218,2023-09-05,10,39,10,Sul,7,0.066,780.15,728.66,554.12,174.54
195,2023-09-05,22,62,3,Nordeste,11,0.093,1025.09,929.76,719.95,209.81
207,2023-09-05,3,1,6,Nordeste,4,0.029,3543.44,3440.68,1919.56,1521.12
194,2023-09-05,8,91,3,Nordeste,15,0.058,4282.95,4034.54,2623.95,1410.59
191,2023-09-05,13,82,10,Sul,6,0.028,597.48,580.75,436.68,144.07
192,2023-09-05,12,47,13,Centro-Oeste,9,0.022,3685.41,3604.33,1972.53,1631.8
168,2023-09-05,16,66,10,Sul,5,0.001,290.75,290.46,203.1,87.36
169,2023-09-05,13,127,5,Nordeste,1,0.001,99.58,99.48,72.78,26.7
170,2023-09-05,15,7,12,Sul,8,0.077,3439.12,3174.31,1682.48,1491.83
171,2023-09-05,22,38,5,Nordeste,2,0.04,186.38,178.92,130.9,48.02
172,2023-09-05,21,12,11,Centro-Oeste,4,0.052,1743.8,1653.12,835.32,817.8
173,2023-09-05,6,45,14,Centro-Oeste,15,0.025,11958.0,11659.05,6161.85,5497.2
175,2023-09-05,4,87,10,Sul,3,0.033,150.75,145.78,101.7,44.08
176,2023-09-05,18,37,16,Sudeste,2,0.069,1002.34,933.18,548.92,384.26
177,2023-09-05,12,23,9,Centro-Oeste,9,0.021,3685.41,3608.02,1972.53,1635.49
178,2023-09-05,15,24,2,Norte,4,0.055,1719.56,1624.98,841.24,783.74
179,2023-09-05,21,132,12,Sul,5,0.009,2179.75,2160.13,1044.15,1115.98
174,2023-09-05,5,55,16,Sudeste,1,0.099,194.16,174.94,124.45,50.49
181,2023-09-05,16,31,10,Sul,4,0.032,232.6,225.16,162.48,62.68
180,2023-09-05,12,134,6,Nordeste,8,0.1,3275.92,2948.33,1753.36,1194.97
193,2023-09-05,9,100,14,Centro-Oeste,11,0.07,8356.59,7771.63,4244.24,3527.39
190,2023-09-05,10,95,3,Nordeste,5,0.097,557.25,503.2,395.8,107.4
189,2023-09-05,21,9,10,Sul,1,0.009,435.95,432.03,208.83,223.2
187,2023-09-05,18,41,6,Nordeste,24,0.147,12028.08,10259.95,6587.04,3672.91
188,2023-09-05,3,90,1,Sul,4,0.089,3543.44,3228.07,1919.56,1308.51
185,2023-09-05,14,99,6,Nordeste,12,0.05,2329.08,2212.63,1390.68,821.95
184,2023-09-05,1,135,1,Sul,2,0.073,203.84,188.96,137.26,51.7
183,2023-09-05,20,8,9,Centro-Oeste,2,0.038,513.0,493.51,290.06,203.45
182,2023-09-05,7,28,8,Sudeste,4,0.061,232.72,218.52,159.64,58.88
186,2023-09-05,20,107,16,Sudeste,13,0.096,3334.5,3014.39,1885.39,1129.0
260,2023-09-06,13,43,15,Sudeste,1,0.078,99.58,91.81,72.78,19.03
257,2023-09-06,20,6,8,Sudeste,8,0.048,2052.0,1953.5,1160.24,793.26
259,2023-09-06,1,3,8,Sudeste,15,0.044,1528.8,1461.53,1029.45,432.08
258,2023-09-06,20,53,15,Sudeste,4,0.019,1026.0,1006.51,580.12,426.39
256,2023-09-06,7,109,16,Sudeste,2,0.006,116.36,115.66,79.82,35.84
250,2023-09-06,24,107,16,Sudeste,10,0.092,4010.8,3641.81,1957.0,1684.81
254,2023-09-06,12,8,14,Centro-Oeste,2,0.004,818.98,815.7,438.34,377.36
253,2023-09-06,2,79,6,Nordeste,8,0.092,2075.76,1884.79,1164.56,720.23
252,2023-09-06,12,119,16,Sudeste,27,0.117,11056.23,9762.65,5917.59,3845.06
251,2023-09-06,2,80,5,Nordeste,4,0.01,1037.88,1027.5,582.28,445.22
261,2023-09-06,7,84,15,Sudeste,10,0.088,581.8,530.6,399.1,131.5
255,2023-09-06,21,10,15,Sudeste,2,0.004,871.9,868.41,417.66,450.75
262,2023-09-06,24,25,15,Sudeste,3,0.054,1203.24,1138.27,587.1,551.17
275,2023-09-06,20,21,16,Sudeste,8,0.015,2052.0,2021.22,1160.24,860.98
264,2023-09-06,13,140,7,Norte,5,0.054,497.9,471.01,363.9,107.11
265,2023-09-06,16,10,16,Sudeste,1,0.044,58.15,55.59,40.62,14.97
266,2023-09-06,5,9,12,Sul,4,0.084,776.64,711.4,497.8,213.6
267,2023-09-06,13,38,6,Nordeste,5,0.048,497.9,474.0,363.9,110.1
268,2023-09-06,19,116,8,Sudeste,3,0.023,313.14,305.94,209.1,96.84
269,2023-09-06,23,57,5,Nordeste,11,0.023,3037.65,2967.78,1810.6,1157.18
270,2023-09-06,4,90,1,Sul,2,0.1,100.5,90.45,67.8,22.65
271,2023-09-06,22,5,12,Sul,12,0.047,1118.28,1065.72,785.4,280.32
272,2023-09-06,7,103,15,Sudeste,4,0.028,232.72,226.2,159.64,66.56
273,2023-09-06,21,10,15,Sudeste,5,0.066,2179.75,2035.89,1044.15,991.74
274,2023-09-06,23,100,13,Centro-Oeste,7,0.065,1933.05,1807.4,1152.2,655.2
249,2023-09-06,19,71,1,Sul,6,0.079,626.28,576.8,418.2,158.6
276,2023-09-06,24,121,3,Nordeste,26,0.054,10428.08,9864.96,5088.2,4776.76
263,2023-09-06,17,66,10,Sul,4,0.049,829.72,789.06,524.32,264.74
248,2023-09-06,4,101,6,Nordeste,3,0.067,150.75,140.65,101.7,38.95
247,2023-09-06,23,39,12,Sul,4,0.08,1104.6,1016.23,658.4,357.83
246,2023-09-06,15,7,1,Sul,12,0.096,5158.68,4663.45,2523.72,2139.73
219,2023-09-06,19,92,10,Sul,19,0.078,1983.22,1828.53,1324.3,504.23
220,2023-09-06,22,23,14,Centro-Oeste,16,0.066,1491.04,1392.63,1047.2,345.43
222,2023-09-06,9,47,11,Centro-Oeste,3,0.039,2279.07,2190.19,1157.52,1032.67
223,2023-09-06,9,113,8,Sudeste,4,0.093,3038.76,2756.16,1543.36,1212.8
224,2023-09-06,7,47,14,Centro-Oeste,4,0.029,232.72,225.97,159.64,66.33
225,2023-09-06,13,111,8,Sudeste,5,0.079,497.9,458.57,363.9,94.67
226,2023-09-06,23,64,12,Sul,6,0.03,1656.9,1607.19,987.6,619.59
227,2023-09-06,6,9,10,Sul,3,0.09,2391.6,2176.36,1232.37,943.99
228,2023-09-06,18,27,10,Sul,10,0.036,5011.7,4831.28,2744.6,2086.68
229,2023-09-06,7,96,5,Nordeste,5,0.1,290.9,261.81,199.55,62.26
230,2023-09-06,9,28,15,Sudeste,2,0.095,1519.38,1375.04,771.68,603.36
231,2023-09-06,13,39,10,Sul,1,0.081,99.58,91.51,72.78,18.73
232,2023-09-06,18,76,8,Sudeste,3,0.011,1503.51,1486.97,823.38,663.59
221,2023-09-06,22,129,11,Centro-Oeste,9,0.033,838.71,811.03,589.05,221.98
234,2023-09-06,16,19,7,Norte,10,0.057,581.5,548.35,406.2,142.15
233,2023-09-06,21,36,5,Nordeste,10,0.036,4359.5,4202.56,2088.3,2114.26
245,2023-09-06,1,97,7,Norte,4,0.05,407.68,387.3,274.52,112.78
243,2023-09-06,19,76,16,Sudeste,1,0.082,104.38,95.82,69.7,26.12
242,2023-09-06,17,127,3,Nordeste,4,0.093,829.72,752.56,524.32,228.24
241,2023-09-06,1,33,7,Norte,1,0.004,101.92,101.51,68.63,32.88
244,2023-09-06,24,14,3,Nordeste,1,0.089,401.08,365.38,195.7,169.68
239,2023-09-06,2,18,1,Sul,12,0.041,3113.64,2985.98,1746.84,1239.14
238,2023-09-06,3,133,9,Centro-Oeste,3,0.022,2657.58,2599.11,1439.67,1159.44
237,2023-09-06,15,103,16,Sudeste,4,0.055,1719.56,1624.98,841.24,783.74
236,2023-09-06,21,97,7,Norte,5,0.081,2179.75,2003.19,1044.15,959.04
235,2023-09-06,15,88,8,Sudeste,2,0.096,859.78,777.24,420.62,356.62
240,2023-09-06,13,60,11,Centro-Oeste,7,0.084,697.06,638.51,509.46,129.05
311,2023-09-07,20,33,2,Norte,2,0.067,513.0,478.63,290.06,188.57
310,2023-09-07,22,97,7,Norte,3,0.022,279.57,273.42,196.35,77.07
309,2023-09-07,21,10,8,Sudeste,3,0.004,1307.85,1302.62,626.49,676.13
308,2023-09-07,21,85,11,Centro-Oeste,1,0.087,435.95,398.02,208.83,189.19
306,2023-09-07,19,101,3,Nordeste,3,0.087,313.14,285.9,209.1,76.8
305,2023-09-07,23,8,14,Centro-Oeste,2,0.043,552.3,528.55,329.2,199.35
304,2023-09-07,23,20,16,Sudeste,9,0.028,2485.35,2415.76,1481.4,934.36
312,2023-09-07,9,14,5,Nordeste,4,0.037,3038.76,2926.33,1543.36,1382.97
303,2023-09-07,21,133,14,Centro-Oeste,5,0.021,2179.75,2133.98,1044.15,1089.83
307,2023-09-07,16,11,13,Centro-Oeste,2,0.011,116.3,115.02,81.24,33.78
313,2023-09-07,24,10,16,Sudeste,2,0.088,802.16,731.57,391.4,340.17
318,2023-09-07,24,85,13,Centro-Oeste,3,0.068,1203.24,1121.42,587.1,534.32
314,2023-09-07,20,27,12,Sul,7,0.083,1795.5,1646.47,1015.21,631.26
315,2023-09-07,21,76,15,Sudeste,3,0.024,1307.85,1276.46,626.49,649.97
316,2023-09-07,4,11,11,Centro-Oeste,4,0.04,201.0,192.96,135.6,57.36
317,2023-09-07,1,113,16,Sudeste,1,0.093,101.92,92.44,68.63,23.81
319,2023-09-07,15,42,5,Nordeste,15,0.049,6448.35,6132.38,3154.65,2977.73
320,2023-09-07,15,139,10,Sul,5,0.096,2149.45,1943.1,1051.55,891.55
321,2023-09-07,17,93,7,Norte,1,0.061,207.43,194.78,131.08,63.7
322,2023-09-07,17,95,6,Nordeste,5,0.094,1037.15,939.66,655.4,284.26
323,2023-09-07,1,25,15,Sudeste,3,0.025,305.76,298.12,205.89,92.23
302,2023-09-07,10,136,13,Centro-Oeste,6,0.022,668.7,653.99,474.96,179.03
324,2023-09-07,8,100,14,Centro-Oeste,10,0.032,2855.3,2763.93,1749.3,1014.63
301,2023-09-07,13,17,10,Sul,3,0.047,298.74,284.7,218.34,66.36
287,2023-09-07,15,56,13,Centro-Oeste,10,0.07,4298.9,3997.98,2103.1,1894.88
299,2023-09-07,7,109,15,Sudeste,1,0.063,58.18,54.51,39.91,14.6
300,2023-09-07,22,138,14,Centro-Oeste,24,0.121,2236.56,1965.94,1570.8,395.14
278,2023-09-07,19,26,7,Norte,1,0.008,104.38,103.54,69.7,33.84
279,2023-09-07,22,48,15,Sudeste,2,0.058,186.38,175.57,130.9,44.67
280,2023-09-07,5,1,6,Nordeste,10,0.063,1941.6,1819.28,1244.5,574.78
281,2023-09-07,18,24,7,Norte,1,0.016,501.17,493.15,274.46,218.69
282,2023-09-07,18,84,16,Sudeste,10,0.011,5011.7,4956.57,2744.6,2211.97
283,2023-09-07,12,43,16,Sudeste,2,0.02,818.98,802.6,438.34,364.26
284,2023-09-07,15,50,8,Sudeste,25,0.021,10747.25,10521.56,5257.75,5263.81
285,2023-09-07,16,114,15,Sudeste,29,0.146,1686.35,1440.14,1177.98,262.16
