cliente_id,cliente,porte,regiao,cidade
61,da Conceição S/A,Medio,Sul,Teixeira
62,Farias S/A,Medio,Nordeste,Mendes do Sul
63,da Mota Rios - ME,Pequeno,Sudeste,da Rosa das Flores
64,Nogueira Cardoso e Filhos,Pequeno,Sul,Nascimento da Prata
65,da Cruz,Pequeno,Norte,Mendonça
66,Jesus,Pequeno,Sul,da Mata
67,Brito Brito e Filhos,Pequeno,Sudeste,Mendonça do Sul
68,Fogaça,Pequeno,Sul,Fernandes das Flores
69,Jesus,Pequeno,Sul,Martins
70,Siqueira,Medio,Sul,Pinto
71,Rocha e Filhos,Pequeno,Sul,Gonçalves
72,Araújo - ME,Grande,Sul,Barros
73,Caldeira,Medio,Sul,Carvalho dos Dourados
74,Correia Correia - EI,Pequeno,Centro-Oeste,Aragão
75,Carvalho,Medio,Centro-Oeste,Garcia Alegre
76,Cirino,Pequeno,Sudeste,Marques
77,Martins,Grande,Sudeste,Fernandes das Flores
78,Barbosa Macedo - EI,Pequeno,Sudeste,Sá das Pedras
79,Aragão e Filhos,Medio,Nordeste,Barros do Amparo
80,Borges S.A.,Pequeno,Nordeste,Souza
81,Jesus Mendonça - ME,Pequeno,Sul,Ferreira
82,Guerra Araújo S.A.,Pequeno,Sul,Rezende
83,Abreu,Grande,Sudeste,Vasconcelos
84,da Luz,Medio,Sudeste,Sá
85,da Paz,Pequeno,Centro-Oeste,da Cruz
86,Sampaio,Pequeno,Sudeste,Almeida
87,Cassiano,Pequeno,Sul,da Costa
88,da Rocha Cunha S/A,Pequeno,Sudeste,Melo
89,Souza Ltda.,Pequeno,Sudeste,Nunes
90,Aragão - EI,Pequeno,Sul,Martins
91,Montenegro,Medio,Nordeste,Vargas da Praia
92,Araújo Moraes S/A,Grande,Sul,Pereira
93,Azevedo Peixoto S/A,Pequeno,Norte,Vasconcelos
94,Guerra Campos - EI,Medio,Sul,das Neves
95,Pacheco Peixoto S/A,Pequeno,Nordeste,Pacheco
96,Leão e Filhos,Medio,Nordeste,das Neves
97,da Luz,Pequeno,Norte,Gonçalves do Oeste
98,Rios Silva Ltda.,Medio,Nordeste,Pastor
99,da Luz Gonçalves S.A.,Medio,Nordeste,Caldeira
100,Marques,Medio,Centro-Oeste,Rodrigues do Campo
101,Sá,Pequeno,Nordeste,Ferreira
102,Albuquerque - ME,Grande,Sul,Ribeiro da Praia
103,Barbosa - EI,Pequeno,Sudeste,Montenegro
104,Montenegro da Luz S.A.,Pequeno,Sudeste,Albuquerque das Pedras
105,Azevedo,Medio,Nordeste,Caldeira de Lopes
106,Freitas da Paz S.A.,Pequeno,Sudeste,Porto dos Dourados
107,Nogueira,Medio,Sudeste,Lopes
108,Pimenta,Medio,Centro-Oeste,Siqueira
109,Rios - EI,Pequeno,Sudeste,Pimenta da Prata
110,Ribeiro,Grande,Sul,Martins de Lopes
111,Carvalho Ltda.,Pequeno,Sudeste,Duarte de Goiás
112,Caldeira e Filhos,Pequeno,Sudeste,da Mota
113,da Mata da Paz - EI,Pequeno,Sudeste,da Cruz de Sá
114,Silva Fernandes S.A.,Grande,Sudeste,Nunes de Pimenta
115,Montenegro,Pequeno,Sudeste,Fernandes do Sul
116,da Cunha,Pequeno,Sudeste,Duarte de Cirino
117,Borges e Filhos,Pequeno,Sudeste,Cunha de Fogaça
118,da Mota,Grande,Centro-Oeste,Fernandes Paulista
119,Abreu Ltda.,Grande,Sudeste,Novais do Sul
120,Porto da Luz S.A.,Medio,Norte,Barros
121,Novaes,Grande,Nordeste,Silveira
122,Novais,Grande,Sudeste,Mendonça da Prata
123,Camargo S/A,Pequeno,Sudeste,Sales
124,Nogueira Andrade Ltda.,Pequeno,Sudeste,Ramos de Silva
125,Lopes Cardoso S/A,Medio,Nordeste,Machado de Vieira
126,Fonseca,Medio,Centro-Oeste,Borges
127,Fogaça S.A.,Pequeno,Nordeste,Câmara das Flores
128,Rios Caldeira Ltda.,Pequeno,Sudeste,das Neves
129,Pinto,Medio,Centro-Oeste,Melo da Prata
130,da Costa Castro S.A.,Pequeno,Sudeste,Lima da Prata
131,Alves,Grande,Centro-Oeste,Fogaça dos Dourados
132,Sousa Farias - ME,Pequeno,Sul,das Neves Paulista
133,da Mata Castro e Filhos,Pequeno,Centro-Oeste,Campos
134,Garcia S/A,Medio,Nordeste,Dias
135,Câmara,Pequeno,Sul,Souza
136,Marques Ferreira Ltda.,Pequeno,Centro-Oeste,Correia
137,Câmara Alves e Filhos,Medio,Sul,Sousa
138,Guerra Farias Ltda.,Grande,Centro-Oeste,da Mota de Silveira
139,Vargas Ltda.,Pequeno,Sul,Brito do Oeste
140,Ramos,Pequeno,Norte,da Conceição da Praia
